Order ID,Order Date,Customer ID,Region,Product ID,Quantity,Sales
MX-2014-143658,2/10/2014,SC-20575,North,OFF-LA-10002782,3,13.08
MX-2012-155047,10/15/2012,KW-16570,South,FUR-FU-10004015,8,252.16
MX-2012-155047,10/15/2012,KW-16570,South,FUR-BO-10002352,2,193.28
MX-2012-155047,10/15/2012,KW-16570,South,OFF-BI-10004428,4,35.44
MX-2012-155047,10/15/2012,KW-16570,South,OFF-AR-10004594,2,71.6
MX-2012-155047,10/15/2012,KW-16570,South,OFF-EN-10001375,2,56.12
MX-2013-134096,9/27/2013,DP-13000,South,OFF-EN-10001375,2,56.12
MX-2013-134096,9/27/2013,DP-13000,South,TEC-MA-10004956,3,344.64
MX-2013-134096,9/27/2013,DP-13000,South,OFF-SU-10003474,4,97.36
MX-2013-134096,9/27/2013,DP-13000,South,TEC-AC-10001830,2,341.52
MX-2013-134096,9/27/2013,DP-13000,South,OFF-BI-10002075,3,12.06
MX-2013-156335,5/3/2013,TB-21250,Central,OFF-FA-10002526,3,20.76
MX-2013-156335,5/3/2013,TB-21250,Central,FUR-CH-10002846,4,210.64
MX-2014-121923,9/24/2014,PK-18910,Central,OFF-EN-10004100,3,80.1
MX-2014-135706,10/18/2014,JK-15625,South,OFF-AR-10003914,4,132.64
MX-2014-135706,10/18/2014,JK-15625,South,OFF-FA-10000038,1,12.94
US-2013-126655,6/26/2013,HE-14800,Central,OFF-EN-10000761,2,31.4
US-2013-126655,6/26/2013,HE-14800,Central,FUR-FU-10003066,7,513.8
US-2013-126655,6/26/2013,HE-14800,Central,OFF-EN-10000075,2,66.96
US-2013-126655,6/26/2013,HE-14800,Central,OFF-EN-10002226,3,14.64
MX-2013-167759,12/19/2013,JE-15610,North,FUR-CH-10002132,4,341.84
MX-2013-163139,10/29/2013,TB-21055,South,TEC-AC-10002749,1,27
MX-2013-163139,10/29/2013,TB-21055,South,OFF-SU-10000066,9,207
US-2014-119753,3/10/2014,DW-13195,Central,OFF-BI-10003934,3,101.1
US-2012-133970,9/26/2012,SJ-20215,North,FUR-FU-10001142,9,301.86
MX-2014-120607,6/18/2014,SP-20650,North,TEC-CO-10003541,2,326.84
MX-2014-120607,6/18/2014,SP-20650,North,OFF-ST-10004296,5,89.85
US-2013-167129,5/24/2013,SC-20050,Central,OFF-BI-10003709,7,235.48
US-2013-167129,5/24/2013,SC-20050,Central,OFF-FA-10003529,4,36.4
US-2013-167129,5/24/2013,SC-20050,Central,TEC-PH-10002483,4,191.36
US-2013-167129,5/24/2013,SC-20050,Central,OFF-AR-10002055,2,32.12
US-2013-167129,5/24/2013,SC-20050,Central,OFF-AP-10000023,5,253.8
